Vendor,"GRAPHTEC Corporation"
Model,"GL240"
Version,"Ver1.51  "
MaxChannel,10
WLStartCH,10
MaxLogicChannel,4
Logic/Pulse,Off,Off
TempUnit,C
Sampling interval,500ms
Total data points,2909      
Trigger,0         
Start time,2021-03-24,16:15:42
End time,2021-03-24,16:39:56
Trigger time,2021-03-24,16:15:42
AMP settings
CH,Signal name,Amp,Input,Range,Temperature Range,Filter,Span,,Unit,Color,,,Line Width
CH1," CH 1","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],28,5,6,0
CH2," CH 2","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],0,13,23,0
CH3," CH 3","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],9,22,8,0
CH4," CH 4","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],21,0,21,0
CH5," CH 5","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],28,16,2,0
CH6," CH 6","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],5,23,30,0
CH7," CH 7","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],30,23,1,0
CH8," CH 8","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],28,0,17,0
CH9," CH 9","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],17,11,7,0
CH10," CH10","M",TEMP,TC_K,2000degC,Off,+500.0,+0.0,[degC],19,27,0,0
Calc settings
CH,Left term,Operator,Right term,Scaling,Span,,Unit
Data
Number,Date&Time,ms,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,Alarm1-10,AlarmOut
        61,2021/03/24 16:16:12,  0,+  17.1,+  16.2,+  16.6,+  17.1,+  26.7,+  54.6,+  48.1,+  63.6,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        62,2021/03/24 16:16:12,500,+  17.2,+  16.2,+  16.4,+  17.4,+  26.9,+  54.8,+  48.2,+  63.8,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        63,2021/03/24 16:16:13,  0,+  17.2,+  16.2,+  16.4,+  17.2,+  26.9,+  54.9,+  48.1,+  64.1,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        64,2021/03/24 16:16:13,500,+  17.2,+  16.2,+  16.4,+  17.3,+  26.9,+  55.3,+  48.5,+  64.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        65,2021/03/24 16:16:14,  0,+  17.2,+  16.1,+  16.5,+  17.2,+  27.0,+  55.3,+  48.5,+  64.6,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        66,2021/03/24 16:16:14,500,+  17.2,+  16.3,+  16.6,+  17.2,+  27.0,+  55.4,+  48.5,+  65.0,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        67,2021/03/24 16:16:15,  0,+  17.2,+  16.3,+  16.6,+  17.2,+  27.0,+  55.7,+  48.8,+  65.1,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        68,2021/03/24 16:16:15,500,+  17.4,+  16.3,+  16.6,+  17.0,+  27.2,+  55.6,+  48.9,+  65.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        69,2021/03/24 16:16:16,  0,+  17.3,+  16.3,+  16.6,+  17.1,+  27.3,+  55.7,+  49.0,+  65.7,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        70,2021/03/24 16:16:16,500,+  17.2,+  16.1,+  16.6,+  17.0,+  27.3,+  56.0,+  48.9,+  65.8,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        71,2021/03/24 16:16:17,  0,+  17.4,+  16.2,+  16.6,+  17.2,+  27.2,+  55.5,+  49.3,+  66.1,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        72,2021/03/24 16:16:17,500,+  17.4,+  16.2,+  16.5,+  17.1,+  27.5,+  56.1,+  49.3,+  66.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        73,2021/03/24 16:16:18,  0,+  17.5,+  16.3,+  16.5,+  17.2,+  27.5,+  56.2,+  49.5,+  66.5,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        74,2021/03/24 16:16:18,500,+  17.5,+  16.3,+  16.5,+  17.4,+  27.5,+  56.5,+  49.5,+  66.8,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        75,2021/03/24 16:16:19,  0,+  17.5,+  16.3,+  16.5,+  17.2,+  27.7,+  56.6,+  49.8,+  66.9,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        76,2021/03/24 16:16:19,500,+  17.5,+  16.4,+  16.6,+  17.3,+  27.6,+  56.9,+  49.9,+  67.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        77,2021/03/24 16:16:20,  0,+  17.6,+  16.3,+  16.4,+  17.1,+  27.9,+  56.9,+  49.9,+  67.5,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        78,2021/03/24 16:16:20,500,+  17.6,+  16.3,+  16.5,+  17.2,+  27.8,+  56.9,+  50.0,+  67.6,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        79,2021/03/24 16:16:21,  0,+  17.6,+  16.4,+  16.7,+  17.2,+  28.0,+  57.0,+  50.2,+  67.9,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        80,2021/03/24 16:16:21,500,+  17.7,+  16.3,+  16.6,+  17.4,+  27.9,+  57.1,+  50.2,+  68.2,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        81,2021/03/24 16:16:22,  0,+  17.8,+  16.5,+  16.4,+  16.9,+  28.0,+  57.2,+  50.5,+  68.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        82,2021/03/24 16:16:22,500,+  17.6,+  16.4,+  16.4,+  17.2,+  28.0,+  57.4,+  50.7,+  68.5,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        83,2021/03/24 16:16:23,  0,+  17.7,+  16.3,+  16.6,+  17.4,+  28.2,+  57.7,+  50.7,+  68.8,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        84,2021/03/24 16:16:23,500,+  17.7,+  16.4,+  16.6,+  17.5,+  28.3,+  58.0,+  50.7,+  69.1,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        85,2021/03/24 16:16:24,  0,+  17.9,+  16.4,+  16.6,+  17.2,+  28.3,+  57.8,+  50.9,+  69.2,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        86,2021/03/24 16:16:24,500,+  17.9,+  16.4,+  16.5,+  17.2,+  28.4,+  58.1,+  51.1,+  69.5,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        87,2021/03/24 16:16:25,  0,+  17.9,+  16.3,+  16.7,+  17.4,+  28.5,+  58.2,+  51.3,+  69.8,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        88,2021/03/24 16:16:25,500,+  17.9,+  16.3,+  16.7,+  17.2,+  28.6,+  58.4,+  51.1,+  69.8,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        89,2021/03/24 16:16:26,  0,+  17.9,+  16.5,+  16.4,+  17.2,+  28.5,+  58.5,+  51.1,+  70.0,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        90,2021/03/24 16:16:26,500,+  17.9,+  16.5,+  16.6,+  17.4,+  28.7,+  58.5,+  51.3,+  70.3,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        91,2021/03/24 16:16:27,  0,+  17.9,+  16.5,+  16.5,+  17.1,+  28.8,+  58.6,+  51.4,+  70.5,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        92,2021/03/24 16:16:27,500,+  18.0,+  16.5,+  16.6,+  17.1,+  28.8,+  59.1,+  51.6,+  70.9,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        93,2021/03/24 16:16:28,  0,+  17.9,+  16.5,+  16.4,+  17.1,+  28.9,+  58.8,+  51.7,+  71.0,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        94,2021/03/24 16:16:28,500,+  18.0,+  16.5,+  16.5,+  17.2,+  29.2,+  59.1,+  51.9,+  71.2,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        95,2021/03/24 16:16:29,  0,+  18.0,+  16.6,+  16.6,+  17.4,+  29.1,+  59.0,+  51.8,+  71.4,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        96,2021/03/24 16:16:29,500,+  18.1,+  16.5,+  16.6,+  17.6,+  29.1,+  59.1,+  52.1,+  71.6,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
        97,2021/03/24 16:16:30,  0,+  18.2,+  16.6,+  16.5,+  17.2,+  29.2,+  59.2,+  52.0,+  71.8,BURNOUT,BURNOUT,LLLLLLLLLL,LLLL
